"Time","Species"
64920,"Chaffinch"
64920,"Collared Dove"
65070,"Magpie"
65580,"Finch"
65730,"Collared Dove"
65730,"Magpie"
65790,"Collared Dove"
66060,"Magpie"
66210,"Magpie"
66300,"Blackbird"
66510,"Starling"
66510,"Starling"
66570,"Blackbird"
66840,"Starling"
67290,"Finch"
67290,"Blackbird"
67380,"Collared Dove"
67740,"Starling"
67800,"Magpie"
68010,"Collared Dove"
68250,"Starling"
68550,"Magpie"
68670,"Chaffinch"
68700,"Blackbird"
68730,"Starling"
68940,"Chaffinch"
68970,"Blackbird"
68970,"Collared Dove"
69060,"Collared Dove"
69330,"Chaffinch"
69630,"Magpie"
69840,"Finch"
69900,"Finch"
70500,"Finch"
70590,"Chaffinch"
70890,"Blackbird"
71100,"Starling"
71130,"Starling"
71280,"Blackbird"
71340,"Finch"
71520,"Blackbird"
71700,"Chaffinch"
71850,"Magpie"
72000,"Chaffinch"
72420,"Magpie"
72510,"Starling"
72570,"Magpie"
72600,"Blackbird"
73020,"Finch"
73110,"Collared Dove"
73410,"Collared Dove"
73470,"Finch"
73560,"Finch"
73800,"Chaffinch"
74040,"Chaffinch"
74070,"Starling"
74610,"Chaffinch"
75000,"Magpie"
75030,"Blackbird"
75120,"Collared Dove"
75180,"Blackbird"
75780,"Magpie"
75810,"Magpie"
75840,"Magpie"
75900,"Finch"
76020,"Chaffinch"
76020,"Magpie"
76170,"Blackbird"
76170,"Chaffinch"
76170,"Chaffinch"
76440,"Collared Dove"
76680,"Starling"
77130,"Chaffinch"
77250,"Chaffinch"
77550,"Chaffinch"
77550,"Blackbird"
77580,"Starling"
77580,"Collared Dove"
77850,"Chaffinch"
77970,"Chaffinch"
78450,"Starling"
78450,"Magpie"
78570,"Starling"
78630,"Finch"
78840,"Collared Dove"
79170,"Chaffinch"
79260,"Collared Dove"
79350,"Starling"
79410,"Chaffinch"
79470,"Blackbird"
79920,"Finch"
80130,"Starling"
80220,"Chaffinch"
80310,"Magpie"
80460,"Collared Dove"
80610,"Finch"
80940,"Chaffinch"
81210,"Blackbird"
81300,"Magpie"
82320,"Chaffinch"
82380,"Starling"
82410,"Starling"
82440,"Finch"
82590,"Magpie"
82620,"Collared Dove"
82710,"Collared Dove"
83400,"Magpie"
83490,"Starling"
83670,"Collared Dove"
83820,"Starling"
83940,"Finch"
84450,"Magpie"
85080,"Magpie"
85290,"Magpie"
85320,"Magpie"
85350,"Starling"
85500,"Blackbird"
85920,"Starling"
86160,"Magpie"
86310,"Magpie"
86370,"Chaffinch"
86550,"Magpie"
86700,"Blackbird"
87030,"Finch"
87150,"Blackbird"
87480,"Collared Dove"
87510,"Finch"
87840,"Chaffinch"
87870,"Magpie"
87960,"Chaffinch"
88020,"Starling"
88170,"Magpie"
88860,"Magpie"
88860,"Starling"
89280,"Collared Dove"
89340,"Magpie"
89700,"Blackbird"
89730,"Collared Dove"
89910,"Starling"
90060,"Collared Dove"
90660,"Collared Dove"
90660,"Collared Dove"
90720,"Starling"
91050,"Finch"
91290,"Chaffinch"
91290,"Chaffinch"
91380,"Collared Dove"
91530,"Starling"
91620,"Starling"
91830,"Starling"
91830,"Magpie"
92040,"Magpie"
92310,"Starling"
92520,"Magpie"
92580,"Magpie"
92610,"Starling"
92700,"Starling"
92910,"Collared Dove"
92940,"Blackbird"
93030,"Blackbird"
93180,"Blackbird"
93180,"Magpie"
93390,"Chaffinch"
93600,"Starling"
93690,"Collared Dove"
93750,"Magpie"
93870,"Chaffinch"
94110,"Starling"
94170,"Magpie"
94620,"Magpie"
94680,"Blackbird"
94710,"Collared Dove"
94860,"Chaffinch"
94920,"Magpie"
94980,"Finch"
95220,"Magpie"
95220,"Starling"
95220,"Magpie"
95310,"Starling"
95580,"Blackbird"
95670,"Magpie"
96240,"Finch"
96660,"Magpie"
96930,"Starling"
97080,"Finch"
97350,"Blackbird"
97380,"Blackbird"
98310,"Starling"
98430,"Magpie"
98670,"Magpie"
98880,"Collared Dove"
99000,"Starling"
99240,"Chaffinch"
99270,"Finch"
99480,"Blackbird"
100800,"Finch"
101220,"Collared Dove"
101730,"Starling"
102690,"Finch"
102900,"Magpie"
103320,"Blackbird"
104190,"Collared Dove"
104520,"Finch"
104670,"Blackbird"
104760,"Collared Dove"
104910,"Chaffinch"
105300,"Finch"
105570,"Finch"
105930,"Magpie"
106380,"Magpie"
107010,"Starling"
107010,"Chaffinch"
107130,"Finch"
107220,"Starling"
107640,"Starling"
108360,"Finch"
108510,"Chaffinch"
108600,"Collared Dove"
108660,"Chaffinch"
108660,"Blackbird"
108750,"Collared Dove"
108900,"Starling"
108900,"Magpie"
109140,"Chaffinch"
109440,"Finch"
109560,"Chaffinch"
109620,"Chaffinch"
109800,"Chaffinch"
110220,"Magpie"
110220,"Chaffinch"
110430,"Finch"
110520,"Chaffinch"
110520,"Chaffinch"
110880,"Chaffinch"
110940,"Magpie"
111000,"Magpie"
111000,"Blackbird"
111900,"Finch"
112110,"Finch"
112290,"Collared Dove"
112470,"Blackbird"
112800,"Starling"
112860,"Collared Dove"
113010,"Chaffinch"
113460,"Finch"
114240,"Starling"
114300,"Blackbird"
114390,"Finch"
114510,"Collared Dove"
114810,"Blackbird"
115140,"Finch"
115140,"Magpie"
115170,"Finch"
115380,"Starling"
115380,"Magpie"
115500,"Magpie"
115560,"Finch"
115710,"Finch"
116100,"Chaffinch"
116250,"Finch"
116280,"Chaffinch"
116340,"Magpie"
116580,"Collared Dove"
116580,"Chaffinch"
116580,"Chaffinch"
116640,"Collared Dove"
116760,"Collared Dove"
116820,"Collared Dove"
116850,"Magpie"
116880,"Finch"
117180,"Chaffinch"
117330,"Collared Dove"
118380,"Blackbird"
118500,"Collared Dove"
118860,"Starling"
119010,"Magpie"
119340,"Chaffinch"
119460,"Magpie"
119460,"Chaffinch"
119610,"Magpie"
119820,"Finch"
119910,"Blackbird"
119940,"Collared Dove"
120120,"Collared Dove"
120180,"Magpie"
120570,"Chaffinch"
120810,"Starling"
120810,"Blackbird"
120840,"Magpie"
121170,"Collared Dove"
121230,"Collared Dove"
121230,"Collared Dove"
121590,"Starling"
121860,"Chaffinch"
121890,"Collared Dove"
122070,"Magpie"
122220,"Blackbird"
122250,"Finch"
122490,"Magpie"
122850,"Collared Dove"
122940,"Starling"
123210,"Blackbird"
123210,"Finch"
123690,"Starling"
124230,"Finch"
124560,"Magpie"
124590,"Blackbird"
124620,"Chaffinch"
124650,"Collared Dove"
125760,"Chaffinch"
125790,"Starling"
126060,"Finch"
126120,"Magpie"
126870,"Magpie"
127080,"Chaffinch"
127320,"Blackbird"
127380,"Magpie"
127950,"Collared Dove"
128010,"Blackbird"
128130,"Chaffinch"
128130,"Blackbird"
128610,"Blackbird"
128790,"Collared Dove"
128970,"Chaffinch"
129060,"Blackbird"
129150,"Finch"
130080,"Magpie"
130110,"Blackbird"
130380,"Starling"
130800,"Magpie"
131070,"Magpie"
131100,"Magpie"
131190,"Collared Dove"
132060,"Starling"
132150,"Collared Dove"
132270,"Collared Dove"
132270,"Magpie"
132450,"Blackbird"
132540,"Blackbird"
132720,"Magpie"
132840,"Blackbird"
133320,"Collared Dove"
133470,"Chaffinch"
133560,"Finch"
133590,"Blackbird"
133740,"Magpie"
133950,"Blackbird"
133980,"Chaffinch"
134250,"Blackbird"
134460,"Starling"
134820,"Collared Dove"
135000,"Blackbird"
135060,"Starling"
135180,"Magpie"
135450,"Chaffinch"
135780,"Starling"
135960,"Blackbird"
136080,"Collared Dove"
136410,"Starling"
136530,"Magpie"
136530,"Finch"
136740,"Finch"
136890,"Collared Dove"
137010,"Blackbird"
137550,"Blackbird"
137700,"Starling"
138180,"Starling"
138270,"Finch"
138300,"Finch"
139110,"Finch"
139410,"Collared Dove"
139890,"Finch"
140040,"Chaffinch"
140070,"Finch"
140280,"Blackbird"
140340,"Magpie"
140490,"Chaffinch"
140550,"Collared Dove"
140850,"Blackbird"
140970,"Chaffinch"
141090,"Chaffinch"
141300,"Starling"
141750,"Blackbird"
141810,"Blackbird"
141930,"Blackbird"
142200,"Chaffinch"
142410,"Magpie"
142590,"Magpie"
142950,"Chaffinch"
143280,"Finch"
143310,"Finch"
144030,"Magpie"
144450,"Finch"
144570,"Magpie"
144600,"Blackbird"
144810,"Collared Dove"
144900,"Starling"
145200,"Finch"
145290,"Finch"
145380,"Chaffinch"
145470,"Blackbird"
145650,"Collared Dove"
145740,"Collared Dove"
146160,"Magpie"
146340,"Magpie"
146580,"Magpie"
146610,"Finch"
146640,"Chaffinch"
147330,"Chaffinch"
147390,"Starling"
147510,"Blackbird"
147750,"Chaffinch"
148020,"Chaffinch"
148500,"Collared Dove"
148740,"Collared Dove"
148770,"Collared Dove"
149490,"Chaffinch"
150090,"Blackbird"
150150,"Finch"
150390,"Magpie"
150480,"Magpie"
150750,"Blackbird"
150750,"Blackbird"
151320,"Blackbird"
151500,"Magpie"
151590,"Chaffinch"
151710,"Finch"
151800,"Magpie"
152220,"Magpie"
152520,"Finch"
153000,"Magpie"
153360,"Finch"
153600,"Starling"
153600,"Magpie"
153630,"Collared Dove"
153720,"Blackbird"
153900,"Collared Dove"
153990,"Finch"
154320,"Chaffinch"
154320,"Starling"
154650,"Finch"
154770,"Collared Dove"
155100,"Collared Dove"
155220,"Collared Dove"
155310,"Collared Dove"
155310,"Magpie"
155550,"Chaffinch"
155640,"Magpie"
155730,"Collared Dove"
155880,"Collared Dove"
156030,"Starling"
156090,"Blackbird"
156240,"Starling"
156360,"Magpie"
156510,"Finch"
156750,"Magpie"
156900,"Collared Dove"
157290,"Chaffinch"
157320,"Blackbird"
157320,"Finch"
157350,"Chaffinch"
157500,"Starling"
157500,"Collared Dove"
157560,"Magpie"
157650,"Collared Dove"
157740,"Magpie"
158040,"Magpie"
158400,"Starling"
158490,"Chaffinch"
158640,"Chaffinch"
158790,"Blackbird"
158970,"Blackbird"
159390,"Collared Dove"
159450,"Finch"
159810,"Collared Dove"
160260,"Blackbird"
160860,"Blackbird"
160980,"Finch"
161220,"Blackbird"
161250,"Finch"
161340,"Magpie"
161400,"Blackbird"
161400,"Finch"
161430,"Starling"
161880,"Chaffinch"
162060,"Collared Dove"
162390,"Starling"
162840,"Blackbird"
163200,"Blackbird"
163650,"Magpie"
164010,"Magpie"
164340,"Chaffinch"
164580,"Finch"
164940,"Blackbird"
165450,"Finch"
165810,"Blackbird"
165930,"Starling"
166350,"Collared Dove"
166530,"Finch"
166560,"Chaffinch"
166770,"Magpie"
167070,"Blackbird"
167100,"Finch"
167310,"Collared Dove"
167760,"Collared Dove"
167880,"Magpie"
168000,"Collared Dove"
168030,"Chaffinch"
168060,"Starling"
168180,"Collared Dove"
168240,"Chaffinch"
168390,"Starling"
168600,"Magpie"
168960,"Starling"
168960,"Collared Dove"
168990,"Collared Dove"
169260,"Magpie"
169440,"Magpie"
169530,"Starling"
169590,"Chaffinch"
169950,"Chaffinch"
170190,"Starling"
170400,"Magpie"
171090,"Blackbird"
171360,"Starling"
171690,"Magpie"
172200,"Collared Dove"
172470,"Finch"
172890,"Chaffinch"
172920,"Collared Dove"
173130,"Collared Dove"
173130,"Finch"
173190,"Collared Dove"
173430,"Starling"
173520,"Blackbird"
173670,"Magpie"
173940,"Collared Dove"
174780,"Collared Dove"
175020,"Starling"
175140,"Starling"
175980,"Finch"
176100,"Collared Dove"
176340,"Finch"
176580,"Magpie"
176670,"Magpie"
176700,"Blackbird"
176760,"Collared Dove"
176940,"Collared Dove"
176970,"Starling"
177180,"Blackbird"
177510,"Starling"
177600,"Chaffinch"
177600,"Magpie"
177900,"Finch"
178020,"Starling"
178440,"Blackbird"
178650,"Magpie"
178770,"Blackbird"
178950,"Collared Dove"
179130,"Collared Dove"
179430,"Blackbird"
179610,"Chaffinch"
179940,"Finch"
180090,"Starling"
180150,"Finch"
180450,"Starling"
180660,"Magpie"
180780,"Magpie"
180870,"Chaffinch"
181200,"Blackbird"
181470,"Collared Dove"
181650,"Starling"
181740,"Finch"
181830,"Magpie"
182760,"Collared Dove"
183360,"Magpie"
183870,"Starling"
184140,"Chaffinch"
184200,"Magpie"
184290,"Collared Dove"
184620,"Magpie"
184650,"Blackbird"
184680,"Magpie"
184740,"Starling"
184860,"Blackbird"
185010,"Chaffinch"
185400,"Starling"
185430,"Magpie"
185970,"Magpie"
186210,"Magpie"
186300,"Collared Dove"
186390,"Blackbird"
186930,"Chaffinch"
186960,"Blackbird"
187740,"Starling"
187800,"Chaffinch"
187830,"Chaffinch"
187950,"Finch"
188220,"Collared Dove"
188370,"Finch"
188640,"Starling"
188880,"Starling"
189420,"Finch"
189540,"Magpie"
189780,"Collared Dove"
189810,"Finch"
189900,"Starling"
190350,"Starling"
190350,"Blackbird"
190410,"Chaffinch"
190680,"Starling"
190710,"Finch"
190920,"Starling"
192180,"Collared Dove"
192840,"Collared Dove"
192900,"Collared Dove"
192960,"Magpie"
193020,"Finch"
193350,"Collared Dove"
193890,"Chaffinch"
193920,"Magpie"
193950,"Chaffinch"
193980,"Starling"
194100,"Magpie"
194100,"Blackbird"
194190,"Magpie"
194310,"Collared Dove"
194550,"Starling"
195060,"Blackbird"
195090,"Finch"
195150,"Magpie"
195270,"Collared Dove"
195510,"Blackbird"
195810,"Collared Dove"
196170,"Chaffinch"
196260,"Magpie"
196290,"Magpie"
196350,"Chaffinch"
196470,"Finch"
196650,"Finch"
196980,"Starling"
197100,"Starling"
197250,"Chaffinch"
198270,"Chaffinch"
198540,"Chaffinch"
198840,"Starling"
199500,"Magpie"
200070,"Blackbird"
200100,"Starling"
200250,"Magpie"
200460,"Magpie"
200520,"Finch"
200670,"Finch"
200700,"Finch"
201330,"Finch"
201420,"Magpie"
201510,"Chaffinch"
202050,"Starling"
202140,"Magpie"
202140,"Collared Dove"
202410,"Finch"
202530,"Blackbird"
202530,"Finch"
203160,"Finch"
203160,"Chaffinch"
203850,"Chaffinch"
204330,"Starling"
204420,"Magpie"
204990,"Blackbird"
205230,"Blackbird"
205470,"Collared Dove"
205530,"Finch"
205740,"Collared Dove"
205740,"Collared Dove"
205890,"Starling"
205920,"Magpie"
205950,"Blackbird"
206490,"Magpie"
206670,"Finch"
206700,"Blackbird"
206880,"Blackbird"
206910,"Starling"
206970,"Starling"
207000,"Blackbird"
207150,"Blackbird"
207270,"Collared Dove"
207810,"Collared Dove"
207840,"Blackbird"
207930,"Collared Dove"
208260,"Blackbird"
208260,"Blackbird"
208260,"Magpie"
208320,"Finch"
208380,"Chaffinch"
208800,"Finch"
208830,"Chaffinch"
209100,"Collared Dove"
209160,"Blackbird"
209820,"Magpie"
209910,"Starling"
210330,"Starling"
210390,"Blackbird"
210630,"Starling"
210780,"Starling"
211140,"Blackbird"
211530,"Finch"
211830,"Chaffinch"
211860,"Starling"
212100,"Magpie"
212100,"Starling"
212220,"Starling"
212430,"Blackbird"
212550,"Finch"
212580,"Blackbird"
212640,"Collared Dove"
212760,"Blackbird"
212760,"Magpie"
212850,"Blackbird"
213480,"Magpie"
213600,"Blackbird"
213630,"Starling"
213630,"Chaffinch"
213780,"Collared Dove"
213810,"Starling"
214290,"Blackbird"
214500,"Magpie"
214530,"Chaffinch"
214560,"Starling"
214590,"Starling"
214620,"Collared Dove"
214920,"Collared Dove"
214950,"Finch"
215160,"Blackbird"
215520,"Magpie"
215700,"Finch"
215730,"Blackbird"
215760,"Starling"
215850,"Collared Dove"
215880,"Magpie"
216120,"Finch"
216480,"Chaffinch"
216780,"Starling"
217170,"Starling"
217620,"Collared Dove"
217650,"Collared Dove"
217950,"Starling"
218220,"Magpie"
218430,"Blackbird"
218460,"Starling"
218820,"Chaffinch"
218910,"Finch"
219000,"Blackbird"
219360,"Magpie"
219390,"Finch"
219390,"Blackbird"
219750,"Starling"
219930,"Blackbird"
220110,"Starling"
220710,"Starling"
220740,"Finch"
220890,"Finch"
221130,"Starling"
221460,"Blackbird"
221730,"Starling"
221760,"Collared Dove"
222090,"Blackbird"
222210,"Finch"
222240,"Collared Dove"
222420,"Starling"
222450,"Collared Dove"
222900,"Collared Dove"
222930,"Blackbird"
222960,"Chaffinch"
223200,"Collared Dove"
223350,"Collared Dove"
223410,"Magpie"
223500,"Finch"
223770,"Blackbird"
223770,"Collared Dove"
223800,"Collared Dove"
223800,"Chaffinch"
223800,"Magpie"
224100,"Starling"
224250,"Starling"
224700,"Collared Dove"
224940,"Chaffinch"
225030,"Chaffinch"
225600,"Magpie"
225720,"Blackbird"
225810,"Blackbird"
225960,"Magpie"
226230,"Starling"
226440,"Blackbird"
226470,"Starling"
226470,"Finch"
226590,"Magpie"
227070,"Magpie"
227220,"Magpie"
227430,"Chaffinch"
227760,"Chaffinch"
227850,"Chaffinch"
228060,"Starling"
228180,"Collared Dove"
228330,"Collared Dove"
228360,"Finch"
228690,"Chaffinch"
229050,"Magpie"
229380,"Chaffinch"
229410,"Collared Dove"
229500,"Chaffinch"
229680,"Finch"
230430,"Chaffinch"
230520,"Blackbird"
230640,"Finch"
230880,"Blackbird"
231060,"Starling"
231120,"Blackbird"
231150,"Blackbird"
231180,"Finch"
231450,"Finch"
231570,"Chaffinch"
231900,"Collared Dove"
231960,"Collared Dove"
233220,"Finch"
233430,"Chaffinch"
233430,"Starling"
233760,"Collared Dove"
233820,"Starling"
234900,"Collared Dove"
235050,"Chaffinch"
235080,"Chaffinch"
235560,"Finch"
236490,"Magpie"
236970,"Starling"
237180,"Magpie"
237420,"Starling"
237540,"Finch"
238020,"Starling"
238350,"Starling"
238950,"Starling"
239220,"Starling"
239520,"Blackbird"
239580,"Magpie"
239760,"Starling"
239940,"Finch"
239940,"Magpie"
240420,"Magpie"
240480,"Starling"
240840,"Collared Dove"
240870,"Chaffinch"
240990,"Blackbird"
241170,"Collared Dove"
241260,"Collared Dove"
241350,"Chaffinch"
241500,"Magpie"
241560,"Magpie"
241590,"Collared Dove"
241950,"Magpie"
242070,"Starling"
243480,"Collared Dove"
243600,"Finch"
243720,"Collared Dove"
243900,"Starling"
243990,"Starling"
244140,"Chaffinch"
244320,"Collared Dove"
244380,"Magpie"
244410,"Magpie"
244530,"Starling"
244770,"Collared Dove"
245130,"Magpie"
245490,"Chaffinch"
245550,"Magpie"
246000,"Starling"
246300,"Collared Dove"
246420,"Collared Dove"
246570,"Finch"
246600,"Collared Dove"
247050,"Chaffinch"
247050,"Collared Dove"
247200,"Finch"
247320,"Collared Dove"
247350,"Starling"
248070,"Magpie"
248880,"Blackbird"
249000,"Chaffinch"
249210,"Collared Dove"
249390,"Chaffinch"
249510,"Starling"
249780,"Collared Dove"
250680,"Collared Dove"
251370,"Starling"
251460,"Chaffinch"
251910,"Blackbird"
252330,"Collared Dove"
252390,"Blackbird"
252660,"Finch"
252810,"Finch"
252930,"Starling"
253440,"Chaffinch"
253590,"Blackbird"
253890,"Blackbird"
253950,"Starling"
253980,"Chaffinch"
254100,"Starling"
254520,"Starling"
254640,"Collared Dove"
255090,"Finch"
255120,"Starling"
255450,"Blackbird"
255600,"Starling"
255690,"Blackbird"
255720,"Starling"
256260,"Finch"
256590,"Collared Dove"
256680,"Finch"
256830,"Finch"
257010,"Magpie"
257010,"Magpie"
257250,"Chaffinch"
257250,"Magpie"
257400,"Starling"
258300,"Chaffinch"
258360,"Blackbird"
258420,"Blackbird"
258540,"Starling"
259230,"Chaffinch"
259290,"Collared Dove"
259710,"Starling"
259770,"Collared Dove"
259800,"Magpie"
259830,"Blackbird"
260010,"Chaffinch"
260370,"Starling"
260370,"Magpie"
260460,"Collared Dove"
260580,"Finch"
261150,"Blackbird"
261180,"Starling"
261690,"Magpie"
261690,"Blackbird"
261720,"Blackbird"
261750,"Magpie"
261810,"Blackbird"
261840,"Magpie"
262320,"Collared Dove"
262650,"Blackbird"
262680,"Finch"
262740,"Finch"
263010,"Blackbird"
263280,"Blackbird"
263310,"Magpie"
263670,"Magpie"
263730,"Chaffinch"
263850,"Chaffinch"
264750,"Starling"
265020,"Starling"
265050,"Magpie"
265920,"Blackbird"
266400,"Collared Dove"
266520,"Collared Dove"
267090,"Collared Dove"
267180,"Magpie"
267450,"Starling"
267570,"Magpie"
268110,"Starling"
268350,"Chaffinch"
268770,"Magpie"
268830,"Magpie"
268950,"Magpie"
269280,"Collared Dove"
269700,"Collared Dove"
269910,"Blackbird"
270060,"Magpie"
270600,"Finch"
270630,"Blackbird"
270630,"Blackbird"
271200,"Starling"
271470,"Starling"
271560,"Magpie"
271740,"Blackbird"
271860,"Starling"
271890,"Magpie"
271950,"Collared Dove"
272040,"Collared Dove"
272100,"Chaffinch"
272310,"Finch"
272310,"Finch"
272640,"Magpie"
272790,"Blackbird"
273150,"Magpie"
273180,"Starling"
273360,"Chaffinch"
273450,"Chaffinch"
273480,"Blackbird"
273510,"Finch"
273570,"Blackbird"
273660,"Chaffinch"
273990,"Blackbird"
274230,"Blackbird"
274230,"Collared Dove"
274350,"Blackbird"
274500,"Starling"
274500,"Starling"
274590,"Blackbird"
274650,"Finch"
275160,"Magpie"
